numero_puntos,t_gift_wrapping,t_incremental,t_incremental_nosort,igual_gw_inc,igual_gw_incns,igual_inc_incns,n_cupula_gw,n_cupula_inc,n_cupula_incns
150000,0.015068,0.0238259,0.00793493,1,1,1,30,30,30
150000,0.0141458,0.0239858,0.0080077,1,1,1,28,28,28
150000,0.0175265,0.0238489,0.00791747,1,1,1,35,35,35
155000,0.016438,0.0253135,0.00818607,1,1,1,31,31,31
155000,0.0165243,0.0248695,0.00820967,1,1,1,32,32,32
155000,0.0152464,0.0247048,0.00810853,1,1,1,28,28,28
155000,0.019022,0.0246331,0.008054,1,1,1,37,37,37
155000,0.0136359,0.0244459,0.00812321,1,1,1,26,26,26
155000,0.016967,0.0244976,0.00811244,1,1,1,32,32,32
155000,0.0145773,0.0246279,0.00811505,1,1,1,28,28,28
155000,0.0187136,0.0246573,0.0080429,1,1,1,36,36,36
155000,0.0131549,0.0246051,0.00811856,1,1,1,25,25,25
155000,0.0179406,0.0247027,0.00805122,1,1,1,35,35,35
160000,0.0181159,0.0261041,0.00833517,1,1,1,34,34,34
160000,0.0170331,0.0254404,0.00838309,1,1,1,32,32,32
160000,0.0163675,0.0254762,0.00842752,1,1,1,30,30,30
160000,0.0198,0.0256216,0.0083776,1,1,1,37,37,37
160000,0.0140631,0.0254133,0.00839278,1,1,1,26,26,26
160000,0.0180451,0.0255513,0.0083788,1,1,1,34,34,34
160000,0.018375,0.0256468,0.0083869,1,1,1,34,34,34
160000,0.0170704,0.0256683,0.00855172,1,1,1,32,32,32
160000,0.0158669,0.0255411,0.00834105,1,1,1,29,29,29
160000,0.0165403,0.0254406,0.00838702,1,1,1,31,31,31
165000,0.0169875,0.0266452,0.0086785,1,1,1,30,30,30
165000,0.0150373,0.026352,0.00859244,1,1,1,27,27,27
165000,0.0174413,0.0264286,0.00864289,1,1,1,31,31,31
165000,0.0170732,0.0263816,0.00868311,1,1,1,31,31,31
165000,0.0175772,0.0262034,0.00862461,1,1,1,32,32,32
